Loan_Status,Loan_ID
Y,LP001002
N,LP001003
Y,LP001005
Y,LP001006
Y,LP001008
Y,LP001011
Y,LP001013
N,LP001014
Y,LP001018
N,LP001020
Y,LP001024
Y,LP001027
Y,LP001028
N,LP001029
Y,LP001030
Y,LP001032
Y,LP001034
N,LP001036
N,LP001038
Y,LP001041
N,LP001043
Y,LP001046
N,LP001047
N,LP001050
N,LP001052
Y,LP001066
Y,LP001068
Y,LP001073
N,LP001086
Y,LP001087
N,LP001091
N,LP001095
N,LP001097
Y,LP001098
N,LP001100
Y,LP001106
N,LP001109
Y,LP001112
Y,LP001114
Y,LP001116
N,LP001119
Y,LP001120
Y,LP001123
Y,LP001131
Y,LP001136
Y,LP001137
Y,LP001138
Y,LP001144
N,LP001146
Y,LP001151
Y,LP001155
Y,LP001157
N,LP001164
N,LP001179
N,LP001186
Y,LP001194
Y,LP001195
N,LP001197
Y,LP001198
Y,LP001199
Y,LP001205
Y,LP001206
N,LP001207
N,LP001213
N,LP001222
N,LP001225
N,LP001228
Y,LP001233
Y,LP001238
N,LP001241
Y,LP001243
Y,LP001245
Y,LP001248
N,LP001250
Y,LP001253
N,LP001255
N,LP001256
N,LP001259
N,LP001263
Y,LP001264
Y,LP001265
Y,LP001266
N,LP001267
N,LP001273
Y,LP001275
Y,LP001279
Y,LP001280
Y,LP001282
Y,LP001289
Y,LP001310
Y,LP001316
Y,LP001318
Y,LP001319
Y,LP001322
Y,LP001325
N,LP001326
Y,LP001327
Y,LP001333
Y,LP001334
Y,LP001343
Y,LP001345
Y,LP001349
Y,LP001350
Y,LP001356
Y,LP001357
Y,LP001367
Y,LP001369
N,LP001370
N,LP001379
Y,LP001384
Y,LP001385
Y,LP001387
N,LP001391
Y,LP001392
Y,LP001398
Y,LP001401
Y,LP001404
Y,LP001405
N,LP001421
Y,LP001422
Y,LP001426
Y,LP001430
Y,LP001431
Y,LP001432
Y,LP001439
Y,LP001443
Y,LP001448
Y,LP001449
N,LP001451
N,LP001465
Y,LP001469
Y,LP001473
Y,LP001478
Y,LP001482
Y,LP001487
N,LP001488
N,LP001489
Y,LP001491
N,LP001492
N,LP001493
N,LP001497
Y,LP001498
Y,LP001504
Y,LP001507
Y,LP001508
Y,LP001514
Y,LP001516
Y,LP001518
N,LP001519
Y,LP001520
N,LP001528
Y,LP001529
N,LP001531
N,LP001532
Y,LP001535
Y,LP001536
Y,LP001541
Y,LP001543
Y,LP001546
Y,LP001552
Y,LP001560
N,LP001562
N,LP001565
Y,LP001570
Y,LP001572
Y,LP001574
N,LP001577
Y,LP001578
N,LP001579
Y,LP001580
Y,LP001581
Y,LP001585
N,LP001586
Y,LP001594
N,LP001603
Y,LP001606
Y,LP001608
N,LP001610
Y,LP001616
N,LP001630
N,LP001633
N,LP001634
Y,LP001636
N,LP001637
Y,LP001639
Y,LP001640
N,LP001641
Y,LP001643
Y,LP001644
Y,LP001647
Y,LP001653
N,LP001656
N,LP001657
Y,LP001658
Y,LP001664
N,LP001665
Y,LP001666
Y,LP001669
Y,LP001671
N,LP001673
Y,LP001674
Y,LP001677
N,LP001682
Y,LP001688
Y,LP001691
Y,LP001692
Y,LP001693
Y,LP001698
Y,LP001699
N,LP001702
N,LP001708
N,LP001711
Y,LP001713
Y,LP001715
Y,LP001716
Y,LP001720
N,LP001722
Y,LP001726
N,LP001732
Y,LP001734
N,LP001736
Y,LP001743
Y,LP001744
Y,LP001749
Y,LP001750
N,LP001751
N,LP001754
Y,LP001758
Y,LP001760
Y,LP001761
Y,LP001765
Y,LP001768
Y,LP001770
Y,LP001776
Y,LP001778
Y,LP001784
N,LP001786
Y,LP001788
Y,LP001790
Y,LP001792
Y,LP001798
N,LP001800
Y,LP001806
Y,LP001807
Y,LP001811
N,LP001813
Y,LP001814
Y,LP001819
Y,LP001824
Y,LP001825
N,LP001835
N,LP001836
Y,LP001841
Y,LP001843
N,LP001844
Y,LP001846
N,LP001849
N,LP001854
N,LP001859
N,LP001864
Y,LP001865
Y,LP001868
N,LP001870
Y,LP001871
Y,LP001872
Y,LP001875
Y,LP001877
Y,LP001882
N,LP001883
Y,LP001884
Y,LP001888
Y,LP001891
Y,LP001892
Y,LP001894
Y,LP001896
Y,LP001900
Y,LP001903
Y,LP001904
Y,LP001907
Y,LP001908
N,LP001910
Y,LP001914
Y,LP001915
Y,LP001917
N,LP001922
Y,LP001924
N,LP001925
Y,LP001926
Y,LP001931
Y,LP001935
Y,LP001936
N,LP001938
Y,LP001940
N,LP001945
Y,LP001947
Y,LP001949
Y,LP001953
Y,LP001954
N,LP001955
N,LP001963
N,LP001964
Y,LP001972
Y,LP001974
Y,LP001977
Y,LP001978
N,LP001990
Y,LP001993
N,LP001994
N,LP001996
Y,LP001998
Y,LP002002
Y,LP002004
Y,LP002006
Y,LP002008
N,LP002024
Y,LP002031
Y,LP002035
Y,LP002036
Y,LP002043
N,LP002050
Y,LP002051
Y,LP002053
Y,LP002054
Y,LP002055
Y,LP002065
N,LP002067
Y,LP002068
Y,LP002082
N,LP002086
Y,LP002087
Y,LP002097
Y,LP002098
Y,LP002100
Y,LP002101
Y,LP002103
Y,LP002106
Y,LP002110
Y,LP002112
N,LP002113
Y,LP002114
N,LP002115
N,LP002116
Y,LP002119
Y,LP002126
Y,LP002128
Y,LP002129
N,LP002130
Y,LP002131
Y,LP002137
Y,LP002138
